ball_speed_mph,optimal_vla_deg,optimal_spin_rpm,optimal_carry_yd
40,40.5,1250,31.907
42,41.5,1250,34.948
44,40.5,1250,38.107
46,40.0,1250,41.343
48,41.0,1500,44.707
50,39.5,1500,48.181
52,40.0,1500,51.757
54,39.5,1500,55.371
56,39.0,1500,59.079
58,37.5,1750,62.902
60,39.0,1750,66.793
62,38.0,1750,70.776
64,37.5,1750,74.789
66,38.0,1750,78.845
68,37.0,1750,82.946
70,37.0,2000,87.114
72,36.5,2000,91.348
74,36.0,2000,95.64
76,35.0,2000,99.849
78,34.5,2000,104.253
80,35.5,2000,108.596
82,34.5,2250,112.935
84,33.5,2250,117.338
86,33.0,2250,121.719
88,32.5,2250,126.132
90,33.5,2250,130.548
92,33.0,2250,135.002
94,32.5,2250,139.482
96,32.0,2250,143.842
98,32.5,2250,148.291
100,31.5,2250,152.734
102,31.5,2250,157.089
104,31.0,2250,161.51
106,31.0,2250,165.858
108,31.0,2250,170.185
110,30.5,2250,174.493
112,30.0,2250,178.808
114,29.5,2250,183.128
116,29.5,2250,187.448
118,28.5,2250,191.639
120,29.5,2250,195.87
122,28.5,2250,200.121
124,28.5,2250,204.253
126,28.0,2250,208.441
128,28.0,2250,212.544
130,28.0,2250,216.617
132,27.5,2250,220.664
134,27.0,2250,224.705
136,27.0,2250,228.743
138,27.5,2250,232.69
140,26.0,2250,236.663
142,26.5,2250,240.616
144,26.0,2250,244.5
146,26.0,2250,248.307
148,25.5,2250,252.175
150,26.0,2250,255.949
152,25.5,2250,259.685
154,25.0,2250,263.407
156,24.5,2250,267.115
158,24.5,2250,270.813
160,24.0,2250,274.502
162,24.5,2250,278.11
164,23.5,2250,281.71
166,24.0,2250,285.266
168,23.5,2250,288.806
170,23.0,2250,292.329
172,23.5,2250,295.772
174,22.5,2250,299.267
176,22.5,2250,302.669
178,22.5,2250,306.039
180,22.0,2250,309.399
182,21.5,2250,312.739
184,21.5,2250,316.072
186,22.0,2250,319.313
188,22.0,2000,322.581
190,21.5,2000,325.805
